2025-11-30 10:54:20 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-30
2025-11-30 10:54:20 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-30 10:54:20 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764480260
2025-11-30 10:54:20 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-30 10:54:20 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-30 10:54:20 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-30 10:54:20 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-30 10:54:20 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-30 10:54:20 | INFO | MONITOR | Event loop thread started
2025-11-30 10:54:20 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-30 10:54:51 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-30
2025-11-30 10:54:52 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-30 10:54:52 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764480292
2025-11-30 10:54:52 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-30 10:54:52 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-30 10:54:52 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-30 10:54:52 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-30 10:54:52 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-30 10:54:52 | INFO | MONITOR | Event loop thread started
2025-11-30 10:54:52 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-30 10:54:52 | INFO | MONITOR | Priority API queue enabled and started
2025-11-30 10:54:52 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-30 10:54:52 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-30 10:54:52 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-30 10:55:10 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-30
2025-11-30 10:55:11 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-30 10:55:11 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764480311
2025-11-30 10:55:11 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-30 10:55:11 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-30 10:55:11 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-30 10:55:12 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-30 10:55:12 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-30 10:55:12 | INFO | MONITOR | Event loop thread started
2025-11-30 10:55:12 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-30 10:55:12 | INFO | MONITOR | Priority API queue enabled and started
2025-11-30 10:55:12 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-30 10:55:12 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-30 10:55:12 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-30 10:55:32 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-30 10:55:42 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-11-30 10:55:52 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-30 10:56:12 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-11-30 10:56:12 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-30 10:56:27 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-30
2025-11-30 10:56:28 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-30 10:56:28 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764480388
