timestamp,symbol,action,price,source,status,execution_status,rejection_reason,capital_used,quantity,order_id,execution_price
2025-12-02T09:54:01.804164,ANGELONE-EQ,BUY,2805.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T09:54:02.081324,ANGELONE-EQ,BUY,2805.0,TradingView,EXECUTED,SUCCESS,,1715.57,3,PAPER_1764649442067,2805.0
2025-12-02T09:57:01.384974,BALKRISIND-EQ,BUY,2376.9,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T09:57:01.465246,BALKRISIND-EQ,BUY,2376.9,TradingView,EXECUTED,SUCCESS,,1935.2500000000002,4,PAPER_1764649621451,2376.9
2025-12-02T10:12:01.629254,CYIENT-EQ,BUY,1175.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:12:01.721036,CYIENT-EQ,BUY,1175.0,TradingView,EXECUTED,SUCCESS,,1913.62,8,PAPER_1764650521708,1175.0
2025-12-02T10:27:02.403712,BSOFT-EQ,BUY,400.4,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:27:03.446851,BSOFT-EQ,BUY,400.4,TradingView,EXECUTED,SUCCESS,,1955.7599999999998,24,PAPER_1764651423425,400.4
2025-12-02T10:36:01.287237,PGEL-EQ,BUY,594.3,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:36:03.090372,PGEL-EQ,BUY,594.3,TradingView,EXECUTED,SUCCESS,,1935.49,16,PAPER_1764651963082,594.3
2025-12-02T10:39:01.739178,PAGEIND-EQ,BUY,37380.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:39:03.194441,PAGEIND-EQ,BUY,37380.0,TradingView,REJECTED,MISSED,"Trade capital exceeds limit (need: 7539.43, limit: 2000.0)",0,0,,
2025-12-02T10:39:04.323634,SJVN-EQ,BUY,78.14,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:39:04.710142,SJVN-EQ,BUY,78.14,TradingView,EXECUTED,SUCCESS,,1987.51,125,PAPER_1764652144699,78.14
2025-12-02T10:42:03.452474,GLENMARK-EQ,BUY,1962.1,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:42:04.860696,GLENMARK-EQ,BUY,1962.1,TradingView,EXECUTED,SUCCESS,,1996.15,5,PAPER_1764652324840,1962.1
2025-12-02T10:48:03.413973,INOXWIND-EQ,BUY,133.12,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T10:48:03.699447,INOXWIND-EQ,BUY,133.12,TradingView,EXECUTED,SUCCESS,,1977.5020000000002,73,PAPER_1764652683686,133.12
2025-12-02T12:36:20.579166,RELIANCE-EQ,BUY,2850.5,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:36:21.901162,RELIANCE-EQ,BUY,2850.5,TradingView,EXECUTED,SUCCESS,,1743.0100000000002,3,PAPER_1764659181889,2850.5
2025-12-02T12:44:06.823497,RELIANCE-EQ,BUY,2950.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:44:06.844132,INFOSYS-EQ,BUY,1850.5,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:47:58.340905,NIFTY50-EQ,BUY,24800.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:48:00.038418,NIFTY50-EQ,BUY,24800.0,TradingView,REJECTED,MISSED,"Trade capital exceeds limit (need: 5010.02, limit: 2000.0)",0,0,,
2025-12-02T12:52:15.345809,RELIANCE-EQ,BUY,2950.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:52:15.376659,INFOSYS-EQ,BUY,1850.5,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:52:15.397593,NIFTY-EQ,BUY,24800.0,TradingView,RECEIVED,PENDING,,0,0,,
2025-12-02T12:52:18.923342,NIFTY-EQ,BUY,24800.0,TradingView,REJECTED,MISSED,"Trade capital exceeds limit (need: 5010.02, limit: 2000.0)",0,0,,
2025-12-02T12:54:00.424922,RELIANCE-EQ,BUY,2950.0,TradingView,RECEIVED,PENDING,,0,0,,
