timestamp,source,symbol,action,price,confidence,score,validation_status,rejection_reason
2025-12-01T09:51:00.936433,TradingView,HEROMOTOCO-EQ,BUY,6264.50,95.00,100.00,ACCEPTED,
2025-12-01T09:51:05.833237,TradingView,IIFL-EQ,BUY,584.45,95.00,100.00,ACCEPTED,
2025-12-01T09:54:05.856229,TradingView,KALYANKJIL-EQ,BUY,514.00,95.00,100.00,ACCEPTED,
2025-12-01T09:54:06.798343,TradingView,ADANIPORTS-EQ,BUY,1543.10,95.00,100.00,ACCEPTED,
2025-12-01T09:57:00.833294,TradingView,DELHIVERY-EQ,BUY,431.70,95.00,100.00,ACCEPTED,
2025-12-01T09:57:00.878047,TradingView,BAJAJ_AUTO-EQ,BUY,9145.00,95.00,100.00,ACCEPTED,
2025-12-01T09:57:01.126686,TradingView,BANKBARODA-EQ,BUY,293.00,95.00,100.00,ACCEPTED,
2025-12-01T09:57:01.703678,TradingView,KPITTECH-EQ,BUY,1249.40,95.00,100.00,ACCEPTED,
2025-12-01T09:57:02.391590,TradingView,KOTAKBANK-EQ,BUY,2155.00,95.00,100.00,ACCEPTED,
2025-12-01T10:00:03.391913,TradingView,POLICYBZR-EQ,BUY,1841.30,95.00,100.00,ACCEPTED,
2025-12-01T10:03:01.728885,TradingView,IDEA-EQ,BUY,10.11,95.00,100.00,ACCEPTED,
2025-12-01T10:06:01.679147,TradingView,IEX-EQ,BUY,144.21,95.00,100.00,ACCEPTED,
2025-12-01T10:24:03.818626,TradingView,TECHM-EQ,BUY,1521.00,95.00,100.00,ACCEPTED,
2025-12-01T10:27:01.398172,TradingView,MUTHOOTFIN-EQ,BUY,3809.60,95.00,100.00,ACCEPTED,
2025-12-01T10:33:00.945037,TradingView,INDIANB-EQ,BUY,885.85,95.00,100.00,ACCEPTED,
2025-12-01T10:33:00.973528,TradingView,UNIONBANK-EQ,BUY,155.48,95.00,100.00,ACCEPTED,
2025-12-01T10:33:02.593353,TradingView,SAMMAANCAP-EQ,BUY,154.19,95.00,100.00,ACCEPTED,
2025-12-01T10:39:00.659134,TradingView,KFINTECH-EQ,BUY,1090.50,95.00,100.00,ACCEPTED,
2025-12-01T10:39:02.041502,TradingView,CHOLAFIN-EQ,BUY,1733.60,95.00,100.00,ACCEPTED,
2025-12-01T10:42:01.292082,TradingView,HINDCOPPER-EQ,BUY,340.60,95.00,100.00,ACCEPTED,
2025-12-01T10:42:01.817989,TradingView,CAMS-EQ,BUY,3965.00,95.00,100.00,ACCEPTED,
2025-12-01T10:48:01.390253,TradingView,NBCC-EQ,BUY,117.52,95.00,100.00,ACCEPTED,
2025-12-01T10:48:01.743020,TradingView,BHARATFORG-EQ,BUY,1448.80,95.00,100.00,ACCEPTED,
2025-12-01T10:48:05.226411,TradingView,SOLARINDS-EQ,BUY,13398.00,95.00,100.00,ACCEPTED,
2025-12-01T18:05:20.604602,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Invalid price: 0.0
2025-12-01T18:05:31.324800,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Invalid price: 0.0
2025-12-01T18:05:59.042095,TradingView,BANKNIFTY-EQ,BUY,52500.00,95.00,92.00,ACCEPTED,
2025-12-01T18:06:06.913493,TradingView,BANKNIFTY-EQ,BUY,52500.00,95.00,92.00,ACCEPTED,
2025-12-01T18:08:51.764540,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-12-01T18:09:00.947849,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-12-01T18:09:39.515795,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-12-01T18:09:39.607991,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-12-01T18:09:49.943328,TradingView,BANKNIFTY-EQ,BUY,52500.00,97.50,95.00,ACCEPTED,
2025-12-01T18:09:57.114831,TradingView,BANKNIFTY-EQ,BUY,52500.00,97.50,95.00,ACCEPTED,
