date,time,symbol,action,quantity,entry_price,exit_price,capital_used,sl_price,pnl,status
2025-12-01,11:04:43,TECHM-EQ,SELL,6,1519.10,1511.50,9114.60,1511.50,-45.60,CLOSED
2025-12-01,11:21:19,UNIONBANK-EQ,SELL,63,155.45,154.63,9793.35,154.65,-51.66,CLOSED
2025-12-01,11:47:05,INDIANB-EQ,SELL,11,887.89,883.30,9766.79,883.45,-50.49,CLOSED
2025-12-01,11:48:52,HEROMOTOCO-EQ,SELL,1,6320.00,6287.50,6320.00,6288.40,-32.50,CLOSED
2025-12-01,12:06:18,ADANIPORTS-EQ,SELL,6,1540.90,1533.00,9245.40,1533.15,-47.40,CLOSED
2025-12-01,15:12:14,IEX-EQ,SELL,68,145.35,146.41,9883.80,144.60,+72.08,CLOSED
2025-12-01,15:12:14,KOTAKBANK-EQ,SELL,4,2151.00,2151.20,8604.00,2140.20,+0.80,CLOSED
