2025-11-24 19:37:45 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:37:46 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-24 19:37:46 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1763993266
2025-11-24 19:37:46 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-24 19:37:46 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-24 19:37:46 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-24 19:37:46 | INFO | HOLDINGS_SYNC | Found 0 open positions from position() API
2025-11-24 19:37:46 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-24 19:37:46 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-24 19:37:46 | INFO | MONITOR | Event loop thread started
2025-11-24 19:37:46 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-24 19:37:47 | INFO | MONITOR | Priority API queue enabled and started
2025-11-24 19:37:47 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-24 19:37:47 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-24 19:37:47 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-24 19:38:07 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-24 19:38:13 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:38:14 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:38:15 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-24 19:38:15 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1763993295
2025-11-24 19:38:15 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-24 19:38:15 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-24 19:38:15 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-24 19:38:15 | INFO | HOLDINGS_SYNC | Found 0 open positions from position() API
2025-11-24 19:38:15 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-24 19:38:15 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-24 19:38:15 | INFO | MONITOR | Event loop thread started
2025-11-24 19:38:15 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-24 19:38:16 | INFO | MONITOR | Priority API queue enabled and started
2025-11-24 19:38:16 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-24 19:38:16 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-24 19:38:16 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-24 19:38:27 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:38:28 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-24 19:38:28 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1763993308
2025-11-24 19:38:28 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-24 19:38:28 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-24 19:38:28 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-24 19:38:28 | INFO | HOLDINGS_SYNC | Found 0 open positions from position() API
2025-11-24 19:38:28 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-24 19:38:28 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-24 19:38:28 | INFO | MONITOR | Event loop thread started
2025-11-24 19:38:28 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-24 19:38:36 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-24 19:38:45 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:38:45 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-24 19:38:45 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1763993325
2025-11-24 19:38:45 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-24 19:38:45 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-24 19:38:45 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-24 19:38:46 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 15s, max 5 retries)
2025-11-24 19:38:46 | INFO | HOLDINGS_SYNC | Found 0 open positions from position() API
2025-11-24 19:38:46 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-24 19:38:46 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-24 19:38:46 | INFO | MONITOR | Event loop thread started
2025-11-24 19:38:46 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-24 19:38:56 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-24 19:39:02 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-24
2025-11-24 19:39:03 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-24 19:39:03 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1763993343
2025-11-24 19:39:03 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-24 19:39:03 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-24 19:39:03 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-24 19:39:03 | INFO | HOLDINGS_SYNC | Found 0 open positions from position() API
2025-11-24 19:39:03 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
