2025-11-28 09:05:04 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:06 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:06 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:05:06 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300906
2025-11-28 09:05:06 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:05:06 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:05:06 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:05:07 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:05:07 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:05:07 | INFO | MONITOR | Event loop thread started
2025-11-28 09:05:07 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:05:07 | INFO | MONITOR | Priority API queue enabled and started
2025-11-28 09:05:07 | INFO | SL_RETRY | SL retry thread started - waiting 30s before initial placement (conserve startup API quota)
2025-11-28 09:05:07 | INFO | SL_RETRY | SL retry thread started successfully
2025-11-28 09:05:07 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:05:07 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:08 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:05:08 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300908
2025-11-28 09:05:08 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:05:08 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:05:08 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:05:08 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:05:08 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:05:08 | INFO | MONITOR | Event loop thread started
2025-11-28 09:05:08 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:05:24 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:24 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:05:24 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300924
2025-11-28 09:05:24 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:05:24 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:05:24 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:05:25 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:05:25 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:05:25 | INFO | MONITOR | Event loop thread started
2025-11-28 09:05:25 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:05:27 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:05:37 | INFO | SL_RETRY | SL retry thread active - conservative mode (1 SL per 20s, max 10 retries)
2025-11-28 09:05:40 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:41 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:05:41 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300941
2025-11-28 09:05:41 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:05:41 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:05:41 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:05:41 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:05:41 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:05:41 | INFO | MONITOR | Event loop thread started
2025-11-28 09:05:41 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:05:47 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:05:57 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:05:57 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:05:57 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300957
2025-11-28 09:05:57 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:05:57 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:05:57 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:05:58 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:05:58 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:05:58 | INFO | MONITOR | Event loop thread started
2025-11-28 09:05:58 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:06:07 | INFO | MONITOR | Paper trades checked (next in 60s)
2025-11-28 09:06:07 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:06:13 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:06:14 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:06:14 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300974
2025-11-28 09:06:14 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:06:14 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:06:14 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:06:14 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:06:14 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:06:14 | INFO | MONITOR | Event loop thread started
2025-11-28 09:06:14 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:06:27 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:06:30 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:06:30 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:06:30 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764300990
2025-11-28 09:06:30 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:06:30 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:06:30 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:06:31 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:06:31 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:06:31 | INFO | MONITOR | Event loop thread started
2025-11-28 09:06:31 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:06:46 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:06:47 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:06:47 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764301007
2025-11-28 09:06:47 | INFO | MONITOR | ✓ Cleared stale positions.json - will rebuild from broker holdings
2025-11-28 09:06:47 | INFO | MONITOR | Skipping file load - broker will be source of truth
2025-11-28 09:06:47 | INFO | HOLDINGS_SYNC | Fetching positions and holdings from broker...
2025-11-28 09:06:47 | INFO | HOLDINGS_SYNC | No positions or holdings found at broker
2025-11-28 09:06:47 | INFO | MONITOR | Position monitoring started with bucketed LTP checking
2025-11-28 09:06:47 | INFO | MONITOR | Event loop thread started
2025-11-28 09:06:47 | INFO | MONITOR | Event loop started successfully for priority queue
2025-11-28 09:06:47 | INFO | MONITOR_SLEEP | Sleeping for 20s (base=20s, consecutive_errors=0, monitoring_suspended=False)
2025-11-28 09:07:03 | INFO | STARTUP | Logging initialized | log_dir=/root/santhosh/trading/equity/logs/2025-11-28
2025-11-28 09:07:03 | INFO | FEEDBACK_INIT | PerformanceFeedback initialized for adaptive trading
2025-11-28 09:07:03 | INFO | MONITOR | Backed up stale positions.json to positions.json.startup_1764301023
