date,time,symbol,action,quantity,entry_price,exit_price,capital_used,sl_price,pnl,status
2025-11-28,12:00:05,ESCORTS-EQ,SELL,2,3859.15,3837.70,7718.30,3839.85,-42.90,CLOSED
2025-11-28,13:56:59,RELIANCE-EQ,SELL,5,1577.40,1569.30,7887.00,1569.50,-40.50,CLOSED
