timestamp,source,symbol,action,price,confidence,score,validation_status,rejection_reason
2025-11-28T10:21:03.740893,TradingView,UNITDSPR-EQ,BUY,1447.80,95.00,100.00,ACCEPTED,
2025-11-28T10:21:15.182330,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-11-28T10:21:16.191106,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 80.0 < 90
2025-11-28T10:21:17.199784,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: confidence 88.0 < 90
2025-11-28T10:21:18.207500,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 85.0 < 90
2025-11-28T10:21:19.216748,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 75.0 < 90
2025-11-28T10:21:20.225714,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 80.0 < 90
2025-11-28T10:21:21.233339,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: confidence 88.0 < 90
2025-11-28T10:21:22.241815,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Alert quality too low: score 85.0 < 90
2025-11-28T10:21:51.124635,TradingView,INFY-EQ,BUY,1850.50,95.00,95.00,ACCEPTED,
2025-11-28T10:21:52.136850,TradingView,TCS-EQ,BUY,1850.50,96.50,100.00,ACCEPTED,
2025-11-28T10:21:53.147086,TradingView,RELIANCE-EQ,BUY,1850.50,92.00,90.00,ACCEPTED,
2025-11-28T10:21:54.157594,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Signal quality filter: Possible resistance level - both metrics at 97.5%/97.5%
2025-11-28T10:21:55.167021,TradingView,INFY-EQ,BUY,1850.50,95.00,95.00,ACCEPTED,
2025-11-28T10:21:56.179676,TradingView,TCS-EQ,BUY,1850.50,96.50,100.00,ACCEPTED,
2025-11-28T10:21:57.190326,TradingView,RELIANCE-EQ,BUY,1850.50,92.00,90.00,ACCEPTED,
2025-11-28T10:21:58.201782,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Signal quality filter: Possible resistance level - both metrics at 97.5%/97.5%
2025-11-28T10:24:03.961398,TradingView,PNBHOUSING-EQ,BUY,910.50,95.00,100.00,ACCEPTED,
2025-11-28T10:24:09.663012,TradingView,TORNTPOWER-EQ,BUY,1320.20,95.00,100.00,ACCEPTED,
2025-11-28T10:33:01.524139,TradingView,POWERINDIA-EQ,BUY,22065.00,95.00,100.00,ACCEPTED,
2025-11-28T10:48:01.378456,TradingView,KALYANKJIL-EQ,BUY,498.30,95.00,100.00,ACCEPTED,
2025-11-28T10:48:01.815642,TradingView,ESCORTS-EQ,BUY,3846.30,95.00,100.00,ACCEPTED,
2025-11-28T11:26:49.524721,TradingView,INFY-EQ,BUY,1850.50,95.00,95.00,ACCEPTED,
2025-11-28T11:26:50.545144,TradingView,TCS-EQ,BUY,1850.50,96.50,100.00,ACCEPTED,
2025-11-28T11:26:51.556269,TradingView,RELIANCE-EQ,BUY,1850.50,92.00,90.00,ACCEPTED,
2025-11-28T11:26:52.566521,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Signal quality filter: Possible resistance level - both metrics at 97.5%/97.5%
2025-11-28T11:26:53.574398,TradingView,INFY-EQ,BUY,1850.50,95.00,95.00,ACCEPTED,
2025-11-28T11:26:54.586694,TradingView,TCS-EQ,BUY,1850.50,96.50,100.00,ACCEPTED,
2025-11-28T11:26:55.598322,TradingView,RELIANCE-EQ,BUY,1850.50,92.00,90.00,ACCEPTED,
2025-11-28T11:26:56.614019,TradingView,UNKNOWN,UNKNOWN,0.00,,,REJECTED,Signal quality filter: Possible resistance level - both metrics at 97.5%/97.5%
